"He aided the Doukhobors in migrating to Canada .","aid","[u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'helped', u'', u'']","[u'tending', u'attention', u'help', u'assistance', u'assist', u'economic_aid', u'care', u'financial_aid']","['N']","[u'help to ', u""lend one's aid"", u'humor ', u'help ', u'befriend ', u'aidance', u'subvention ', u'assist', u'help', u'succor', u'second ', u'promote ', u'nurture ']","['N']"
"""Oat bread was first manufactured in England , where the first oat bread factory was established in 1899 .""","manufacture","[u'made', u'made', u'made', u'made', u'made', u'made', u'made', u'made', u'made', u'made', u'made', u'made', u'made', u'made', u'made', u'made', u'made', u'made', u'made', u'made', u'made', u'made', u'made', u'created', u'made', u'made', u'made', u'made', u'created', u'made', u'made', u'made', u'made', u'made', u'made', u'made', u'made', u'made', u'created', u'made', u'made', u'made', u'made', u'made', u'made', u'made', u'made', u'made', u'made', u'made', u'', u'']","[u'fabricate', u'make_up', u'industry', u'cook_up', u'construct', u'invent', u'manufacturing', u'fabrication']","['N']","[u'do', u'form', u'perform', u'make', u'creation', u'contrive', u'gar', u'produce', u'fabricate', u'production', u'construction', u'formation', u'construct', u'frame', u'operate', u'fabrication']","['N']"
"The geological composition of rock and soil dictates the type of shore which is created .","dictate","[u'reveils', u'governs ', u'tells us', u'causes', u'says', u'indicates', u'decides', u'shows', u'decides', u'directs', u'decides', u'decides', u'decides', u'determines', u'determines', u'decides', u'causes', u'determines', u'shows', u'determines', u'chooses', u'determines', u'decides', u'controls', u'rules', u'shows', u'controls', u'causes', u'determines', u'decides', u'guides', u'tells', u'tells', u'decides', u'determines', u'determines', u'orders', u'tells', u'decides', u'determines', u'shows', u'leads to', u'commands', u'indicates', u'tells', u'shows', u'determines', u'directs', u'determines', u'decides', u'', u'']","[u'prescribe', u'order']","['N']","[u'decree', u'give orders', u'prompting', u'hector', u'influence', u'ordain', u'direct', u'instance', u'bully', u'command', u'mandate', u'order', u'enact', u'domineer']","['N']"
"""These notable synagogues include ; the Great Synagogue of Rome , the New Synagogue , the LeopoldstÌ_dter Tempel , the Grand Choral Synagogue , the Great Synagogue , the Moscow Choral Synagogue , the Great Synagogue of Florence , the Great Synagogue , Plzen , the Great Synagogue , the Ko ice Orthodox Synagogue , the Novi Sad Synagogue , the Szeged Synagogue , the Sofia Synagogue and the Great Synagogue of Oran .""","*notable","[u'main', u'evident', u'popular', u'popular', u'important', u'major', u'famous', u'famous', u'famous', u'important', u'important', u'famous', u'important', u'important', u'famed', u'famous', u'best', u'prominet', u'special', u'important', u'known', u'famous', u'famous', u'great', u'important', u'famous', u'important', u'important', u'important', u'famous', u'popular', u'noticeable', u'important', u'other', u'famous', u'great', u'famous', u'famous', u'important', u'famous', u'important', u'important', u'important', u'famous', u'famous', u'important', u'famous', u'important', u'important', u'important', u'', u'']","[u'far-famed', u'renowned', u'celebrated', u'guiding_light', u'noteworthy', u'illustrious', u'famed', u'luminary', u'noted', u'famous', u'notability', u'leading_light']","['Y']","[u'pronounced', u'industrious', u'salient', u'diligent', u'striking', u'demonstrative', u'signal', u'sedulous', u'assiduous', u'painstaking', u'notorious', u'in the foreground', u'prominent']","['N']"
"""Schoenberg refused , saying `` I would only make you a bad Schoenberg , and you 're such a good Gershwin already . ''""","refuse","[u'denied', u'said no', u'said no', u'denies', u'said no', u'rejected', u'declined', u""didn't"", u'denied', u'negated', u'denied', u'said no', u""wouldn't"", u'said no', u'reject', u'said no', u'rejected', u'declined', u'said no', u'declined', u'declined', u""didn't"", u'said no', u'said no', u'said no', u'said no', u'would not', u'declined', u'declined ', u'said no', u'disagreed', u'did not', u'declined', u'said no', u'denied', u'did not', u'declined', u'declined', u'declined', u'turned his back', u'declined', u'said no', u'denied', u'replied', u'denied', u'denied', u'rejected', u'declined', u'chose not to', u'said no', u'', u'']","[u'decline', u'deny', u'garbage', u'turn_away', u'defy', u'pass_up', u'resist', u'food_waste', u'reject', u'scraps', u'turn_down']","['Y']","[u'garbage', u'decline', u'waste', u'rubbish', u'scourings', u'recusant ', u'refractory', u'rubble', u'sweepings', u'orts', u'deny', u'rags', u'contumacious', u'debris', u'turn down', u'reject', u'decline ', u'trash', u'detritus', u'offscourings']","['Y']"
"A final violent confrontation with police took place at Glenrowan .","confrontation","[u'fight', u'stand', u'fight', u'meeting', u'arguement', u'fight', u'dispute', u'fight', u'fight', u'encounter', u'clash', u'fight', u'fight', u'fight', u'fight', u'assault', u'fight', u'fight', u'fight', u'fight', u'fight', u'fight', u'fight', u'arguement', u'fight', u'disagreement', u'fight', u'fight', u'clash', u'interaction', u'fight', u'fight', u'fight', u'fight', u'meet up', u'conflict', u'fight', u'fight', u'clash', u'fight', u'encounter', u'fight', u'altercation ', u'fight', u'fight', u'fight', u'fight', u'clash', u'fight', u'conflict', u'', u'']","[u'opposition', u'showdown', u'face-off', u'encounter']","['Y']","[]","['N']"
"""When Wotan refuses to abandon his `` free hero '' , Fricka lays bare his self-deception : Siegmund is in no sense independent since his fate has been pre-ordained by Wotan , who has even indirectly led him to find the magic sword .""","refuse","[u'does not want', u'declines', u'declines', u'denies', u'declines', u'declines', u'decides not to', u'declines', u'declines', u'does not want', u'protests', u'ceases', u'disallowed', u'does not want', u'stopped', u'fails', u'declines', u'declined', u'declines', u'declines', u'declines', u'denies', u""doesn't"", u'stops', u'says no', u'declines', u'denied', u""doesn't want"", u'denies', u'declines', u'declines', u'declines', u'refrain', u'denies', u'disagrees', u""doesn't"", u'declines', u'declines', u'decline', u'decides not', u'declines', u""won't"", u'avoids', u'declines', u'declines', u'decline', u'declines', u'avoids', u'avoids', u'declines', u'declines', u'']","[u'decline', u'deny', u'garbage', u'turn_away', u'defy', u'pass_up', u'resist', u'food_waste', u'reject', u'scraps', u'turn_down']","['Y']","[u'garbage', u'decline', u'waste', u'rubbish', u'scourings', u'recusant ', u'refractory', u'rubble', u'sweepings', u'orts', u'deny', u'rags', u'contumacious', u'debris', u'turn down', u'reject', u'decline ', u'trash', u'detritus', u'offscourings']","['Y']"
"""A British nobleman , Lord Stanhope , took an interest in Hauser and gained custody of him late in 1831 .""","gain","[u'received', u'got', u'got', u'earned', u'got', u'obtained', u'got', u'got', u'got', u'got', u'took', u'got', u'got', u'got', u'got', u'got', u'took', u'got', u'won', u'took', u'won', u'got', u'took', u'got', u'obtained', u'got', u'got', u'got', u'had', u'got', u'granted', u'had', u'got', u'received ', u'took', u'won', u'got', u'got', u'got', u'was given', u'earned', u'got', u'aquired', u'got', u'acquired', u'gave', u'increased', u'got', u'got', u'got', u'', u'']","[u'win', u'attain', u'derive', u'addition', u'make', u'increase', u'arrive_at', u'make_headway', u'pull_in', u'hit', u'acquire', u'reach', u'take_in', u'amplification', u'put_on', u'realize', u'advance', u'earn', u'bring_in', u'gain_ground', u'get_ahead', u'clear', u'gather', u'profit', u'benefit', u'realise', u'pull_ahead']","['N']","[u'adroit', u'win', u'obtain', u'apt', u'ready', u'expert', u'profit', u'get', u'boot', u'product', u'deft', u'acquire', u'procure', u'dexterous', u'produce', u'handy', u'earnings ', u'thrift', u'earn', u'gather', u'skillful', u'quick']","['N']"
"""In nature , there is a strong evolutionary pressure for animals to blend into their environment or conceal their shape ; for prey animals to avoid predators and for predators to be able to sneak up on prey .""","*conceal","[u'hide', u'hide', u'hide', u'hide', u'hide', u'hide', u'hide', u'hide', u'hide', u'hide', u'hide', u'hide', u'hide', u'hide', u'hide', u'hide', u'hide', u'hide', u'hide', u'hide', u'hide', u'hide', u'hide', u'hide', u'hide', u'hide', u'hide', u'hide', u'hide', u'hide', u'hide', u'hide', u'hide', u'hide', u'hide', u'disguise', u'hide', u'hide', u'hide', u'hide', u'hide', u'hide', u'hide', u'hide', u'hide', u'hide', u'hide', u'hide', u'hide', u'hide', u'', u'']","[u'hold_in', u'hide', u'hold_back']","['Y']","[u'put out of sight', u'whisper ', u'hide', u'keep back ', u'keep in ignorance ', u'mystify ', u'secrete']","['Y']"
"The Hush Sound is currently on hiatus .","hiatus","[u'hold', u'break', u'break', u'pause', u'leave', u'break', u'break', u'break', u'break', u'rest', u'break', u'break', u'break', u'hold', u'break', u'pause', u'break', u'stop', u'break', u'break', u'break', u'break', u'break', u'a break', u'vacation', u'break', u'break', u'break', u'break', u'a break', u'leave', u'break', u'break', u'break', u'break', u'break', u'hold', u'break', u'vacation', u'break', u'pause', u'vacation', u'holiday', u'vacation', u'break', u'vacation', u'break', u'a break', u'break', u'hold', u'', u'']","[u'reprieve', u'abatement', u'respite', u'foramen', u'suspension']","['N']","[u'caesura', u'chasm']","['N']"
"Many people see Al Jazeera as a more trustworthy source of information than government and foreign channels .","trustworthy","[u'reliable', u'helpful', u'honest', u'reliable', u'reliable', u'honest', u'credible', u'honest', u'reliable', u'honest', u'reliable', u'reliable', u'honest', u'dependable', u'open', u'reliable', u'dependable', u'honest', u'dependable', u'likable', u'reliable', u'secure', u'reliable', u'reliable', u'believable', u'reliable', u'believable', u'accurate', u'honest', u'honest', u'reliable', u'honest', u'truthful', u'believable', u'reliable', u'believable', u'honest', u'trusted', u'honest', u'reliable', u'credible', u'honest', u'honest', u'believable', u'credible', u'honest', u'reliable', u'honest', u'honest', u'reliable', u'', u'']","[u'trusty']","['N']","[u'credible', u'true- hearted', u'trusty', u'reliable', u'to be depended on', u'bound', u'honest']","['Y']"
"""Some Han Chinese believe they share common ancestors , mythically ascribed to the patriarchs Yellow Emperor and Yan Emperor , some thousands of years ago .""","mythically","[u'supposedly', u'magically', u'legendarily', u'fictitiously', u'magically', u'divinely', u'supposedly', u'in legend', u'legendary', u'by legend', u'sometimes', u'imagined to be', u'magically', u'normally', u'legendary ', u'historically', u'legendary', u'anciently', u'unreal', u'make believe', u'falsely', u'historically', u'traditionally', u'magically', u'in legend', u'religiously', u'falsely', u'legendly', u'according to legend', u'pretended', u'mystically', u'fictionally', u'artifically', u'creatively', u'fictitiously', u'legendly', u'falsely', u'from a story', u'truly', u'from', u'in stories', u'magically', u'historically', u'falsely', u'legends tell them they', u'possibly', u'fictionally', u'traditionally', u'supposedly', u'the legend was', u'', u'']","[]","['N']","[]","['N']"
"""Scene 2 : The Doctor rushes by the Captain in the street , who urges him to slow down .""","urge","[u'convinces', u'encourages', u'wants', u'tells', u'presses', u'suggest', u'tells', u'convinces', u'warn', u'begs', u'demands', u'forces', u'tells', u'desired', u'spurs', u'begs', u'tells', u'asked', u'provokes', u'suggests', u'wants', u'encourages', u'asks', u'tells', u'asks', u'asks', u'asks', u'encourages', u'desire', u'asked', u'tells', u'begs', u'tells', u'begs', u'begs', u'encourage', u'wants', u'tells', u'asks', u'suggests', u'suggests', u'persuades', u'asks', u'asks', u'begs', u'forces', u'tells', u'begs', u'encourages', u'asks', u'tells', u'']","[u'inspire', u'itch', u'advocate', u'exhort', u'barrack', u'cheer', u'urge_on', u'impulse', u'recommend', u'press', u'pep_up', u'root_on']","['N']","[u'tax', u'importune', u'beset', u'accelerate', u'clamor for', u'put on', u'whip', u'quicken', u'imprecate', u'dun', u'incite', u'goad', u'boom', u'precipitate', u'sharpen', u'prick', u'impetrate', u'excite', u'ply', u'press', u'spur', u'expedite', u'turn on', u'annoy', u'drive', u'stir up', u'lash', u'stimulate']","['N']"
"Slaves were previously introduced by the British and French who colonized the island in the 18th century .","introduce","[u'brought in', u'given', u'brought', u'brought in', u'imported', u'presented', u'brought', u'produced', u'brought', u'brought', u'obtained', u'brought in', u'brought', u'brought', u'brought', u'brought', u'shown', u'expressed', u'started', u'brought', u'brought', u'called', u'made known', u'brought over', u'presented', u'brought in', u'found', u'brought', u'brought', u'brought', u'brought', u'brought', u'shown', u'brought', u'met', u'started', u'established', u'brought', u'started', u'presented', u'presented', u'brought', u'brought', u'brought', u'brought', u'brought in', u'brought', u'brought in ', u'shown', u'brought', u'', u'']","[u'insert', u'inaugurate', u'bring_in', u'acquaint', u'put_in', u'bring_out', u'usher_in', u'stick_in', u'preface', u'innovate', u'inclose', u'enclose', u'premise', u'enter', u'infix', u'precede', u'present']","['N']","[u'wedge in', u'head', u'jam in', u'put between', u'take the lead', u'worm in', u'run in', u'herald', u'foist in', u'intromit', u'work in', u'plow in', u'throw in', u'usher in', u'import', u'edge in']","['N']"
"""Following The Hassles ' demise in 1969 , he formed the duo Attila with Hassles drummer Jon Small .""","demise","[u'fall', u'death', u'breakup', u'death', u'breakup', u'breakup', u'death', u'end', u'death', u'fall', u'fall', u'ended', u'death', u'end', u'downfall', u'fall', u'death', u'failure', u'death', u'breakup', u'breakup', u'breakup', u'breakup', u'end', u'end', u'downfall', u'death', u'death', u'breakup', u'breakup', u'failure', u'fall', u'destruction', u'fall', u'end', u'fate', u'death', u'fall', u'fall', u'downfall', u'downfall', u'breakup', u'downfall', u'failure', u'ending', u'downfall', u'decline', u'end', u'crumble', u'death', u'death', u'']","[u'death', u'dying']","['Y']","[u'decease', u'limitation', u'sett', u'let', u'underlet', u'lease']","['N']"
"""The marriage was marked from the outset by sexual passion and emotional insensitivity when Tolstoy , on the eve of their marriage , gave her his diaries detailing his extensive sexual past and the fact that one of the serfs on his estate had borne him a son .""","*outset","[u'start', u'start', u'beggining', u'beginning', u'beginning', u'start', u'start', u'start', u'beginning', u'beginning', u'beginning', u'start', u'beginning', u'beginning', u'start', u'start', u'start', u'beginning', u'beginning', u'start ', u'begining', u'beginning', u'beginning', u'beginning', u'start', u'beginning', u'beginning', u'beginning', u'beginning', u'beginning', u'start', u'beginning', u'start', u'beginning', u'beginning', u'beginning', u'start', u'start', u'beginning', u'beginning', u'beginning', u'beginning', u'beginning', u'beginning', u'begining', u'beginning', u'beginning', u'origin', u'start', u'beginning', u'', u'']","[u'get-go', u'showtime', u'starting_time', u'kickoff', u'start', u'offset', u'beginning', u'commencement', u'first']","['Y']","[u'inchoation', u'opening', u'start', u'incipience', u'inception', u'beginning', u'commencement']","['Y']"
"""A tropical wave , which had previously spawned Tropical Depression Six , interacted with an upper-level low pressure area to develop an area of deep convection near Hispaniola on July 23 , 2003 .""","previously","[u'prior', u'earlier', u'first', u'formerly', u'before', u'pastly', u'before', u'earlier', u'in the past', u'already', u'before', u'foremerly', u'before', u'first', u'earlier', u'earlier ', u'earlier', u'already', u'before', u'already', u'before', u'in the past', u'already', u'before', u'already', u'once', u'before', u'earlier', u'earlier', u'earlier', u'earlier', u'before', u'before', u'earlier', u'once', u'once', u'in the past', u'once', u'earlier', u'before', u'earlier', u'earlier', u'been', u'before', u'before', u'first', u'earlier', u'formerly', u'before hand', u'in the past', u'', u'']","[u'antecedently']","['N']","[]","['N']"
"""Born as Alfons Karg , he was trained as a telecommunications technician , but soon became disenchanted with this profession .""","profession","[u'job', u'job', u'job', u'job', u'job', u'job', u'job', u'work', u'job', u'job.', u'job', u'career', u'job', u'job', u'job', u'job', u'job', u'job', u'job', u'job', u'job', u'job', u'job', u'job', u'job', u'job', u'job', u'job', u'job', u'career', u'job', u'job', u'job', u'job', u'job', u'specialty', u'career', u'job', u'job', u'job', u'job', u'job', u'job', u'job', u'career', u'job', u'occupation', u'job', u'job', u'job', u'', u'']","[u'professing']","['N']","[u'warranty', u'empty words', u'calling', u'cloth', u'faculty', u'obligation', u'vocation', u'insurance', u'assurance', u'guarantee']","['N']"
"""Historically , in the warm Mediterranean and Middle Eastern climates , the courtyard served to accommodate the large number of worshippers during Friday prayers .""","*accommodate","[u'hold', u'hold', u'house', u'support', u'hold', u'fit', u'house', u'hold', u'hold', u'holds', u'aid', u'hold', u'house', u'house', u'hold', u'hold', u'serve', u'house', u'hold', u'gather', u'house', u'hold', u'hold', u'hold', u'hold', u'house', u'aid', u'fit', u'hold', u'provide for', u'accept', u'support', u'hold', u'accept', u'hold', u'contain', u'hold', u'hold', u'hold', u'hold', u'house', u'house', u'aid', u'hold', u'lodge', u'fit', u'shelter', u'hold', u'host', u'hold', u'hold', u'']","[u'reconcile', u'fit', u'oblige', u'conciliate', u'admit', u'adapt', u'suit', u'lodge', u'hold']","['Y']","[u'consult the wishes of', u'fit', u'oblige', u'adapt', u'suit']","['Y']"
"""Simon Phillip Cowell is an English music executive , television producer and entrepreneur .""","entrepreneur","[u'business owner', u'business owner', u'business-owner', u'businessman', u'business owner', u'businessman', u'business owner', u'promoter', u'businessman', u'businessman', u'businessman', u'businessman', u'businessman', u'business man', u'businessman', u'businessperson', u'business man', u'business owner', u'maker', u'businessmen', u'businessman', u'businessman', u'businesman', u'executive', u'businessman', u'businessman', u'buiness owner', u'business organizer', u'businessman', u'businessman', u'founder', u'salesman', u'employer', u'business owner', u'businessman', u'buisnessman', u'business owner', u'businessman', u'businessman', u'business man', u'business owner', u'businessman.', u'businessman', u'businessman', u'tycoon', u'business starter', u'business creator', u'manager', u'businessperson', u'businessman', u'', u'']","[u'enterpriser']","['N']","[u'impresario', u'producer']","['N']"
"""With poor sales of the A340-200 , Airbus decided to use the fuselage of the A340-200 with the wings and engines of the A330-300 .""","fuselage","[u'trunk', u'cabin', u'body', u'cabin', u'main parts', u'body', u'body', u'cabin', u'body', u'body', u'body', u'mass', u'body', u'body', u'fuel tank', u'frame', u'body', u'body', u'body', u'frame', u'core', u'body', u'body', u'body', u'gas tank', u'body', u'body', u'fuel tank', u'cabin', u'body', u'front', u'tank', u'gas tank', u'tank', u'body', u'body', u'bulk', u'body', u'body', u'body', u'body', u'body', u'bulk', u'cabin', u'body', u'body', u'body', u'frame', u'center', u'body', u'body', u'']","[]","['N']","[]","['N']"
"""Upon receiving its classification , the depression consisted of a partially exposed low-level center with deep convection occupying the northeastern semicircle .""","occupy","[u'taking', u'covering', u'covering', u'filling', u'covering', u'living', u'settling', u'inhabiting', u'on', u'filling', u'in', u'forming', u'sitting in', u'holding', u'in', u'taking up', u'in', u'inside', u'in', u'inside', u'inside', u'engulfing', u'in', u'in', u'in', u'inside', u'in', u'covering', u'taking up', u'taking up', u'staying', u'in', u'in', u'over', u'taking up', u'taking up', u'covering', u'inhabiting', u'filling', u'filling up', u'on', u'owning', u'filling', u'covering', u'taking up', u'covering', u'inhabiting', u'in', u'holding', u'in', u'', u'']","[u'reside', u'busy', u'use_up', u'absorb', u'engross', u'engage', u'lodge_in', u'interest', u'take', u'fill', u'invade', u'worry', u'concern']","['N']","[u'enjoy', u'hold', u'have', u'possess']","['N']"
"Hydrostatic equilibrium occurs when compression due to gravity is balanced by a pressure gradient which creates a pressure gradient force in the opposite direction .","compression","[u'shortening', u'squeezing', u'squeezing', u'squeezing', u'compaction', u'pressure', u'pressure', u'stress', u'pressure', u'squeezing', u'pushing down', u'pressure', u'pressure', u'squeezing', u'pressure', u'shrinking', u'compaction ', u'squeezing', u'shrinking', u'pushing', u'force', u'squishing', u'pressure', u'power', u'shrinking', u'squishing', u'squeezing', u'pressure', u'tightening', u'pressure', u'tightness', u'pressure', u'squeezing', u'pressure', u'squeezing', u'squeezing', u'squeezing', u'squeezing', u'pressure', u'squeezing', u'adjustment', u'inward force', u'squeezing', u'compaction', u'forces', u'squeezing', u'pressure', u'flattened', u'flattening', u'pressure from top and bottom', u'', u'']","[u'condensation', u'densification', u'compressing', u'concretion', u'compaction', u'contraction']","['Y']","[u'condensation', u'compactness']","['N']"
"""More specifically , the term stratus is used to describe flat , hazy , featureless clouds of low altitude varying in color from dark gray to nearly white . A `` cloudy day '' usually features a sky filled with stratus clouds obscuring the disk of the sun .""","featureless","[u'boring', u'blank', u'bland', u'dull', u'blank', u'blank', u'plain', u'uninteresting', u'plain', u'flat', u'plain', u'edgeless', u'bland', u'plain', u'plain', u'plain', u'non special', u'uniform', u'boring', u'bland', u'plain', u'plain', u'plain', u'plain', u'bland', u'nondescript', u'blank', u'bland', u'ordinary', u'plain', u'plain', u'dull', u'blank', u'boring', u'plain', u'shapeless', u'bland', u'plain', u'round', u'shapeless', u'empty', u'plain', u'plain', u'aspectless', u'boring', u'ordinary', u'plain', u'plain', u'plain', u'plain', u'', u'']","[]","['N']","[]","['N']"
"""However , on 13 April 2008 , before the completion of the initial five years , it was announced that Bryce was to become the next Governor-General of Australia .""","initial","[u'first', u'first', u'beginning', u'first', u'first', u'first', u'first', u'first', u'first', u'first', u'first', u'first', u'first', u'first', u'original', u'first', u'first', u'first', u'first', u'first', u'first', u'first', u'first', u'first', u'first ', u'first', u'first', u'first', u'first', u'first', u'first', u'first', u'first', u'first', u'first', u'first', u'first', u'first', u'first', u'first', u'first', u'first', u'first', u'first', u'first', u'first', u'first', u'first', u'first', u'first', u'', u'']","[]","['N']","[u'alpha', u'initiatory', u'initiative']","['N']"
"""During the First Boer War , the city was besieged by Republican forces in December 1880 and March 1881 .""","besiege","[u'attacked', u'surrounded', u'attacked', u'placed under seige', u'attacked', u'attacked', u'attacked', u'invaded', u'surrounded', u'attacked', u'attacked', u'encircled', u'taken over', u'overrun', u'attacked', u'surrounded', u'attacked', u'attacked', u'attacked', u'invaded', u'controlled', u'taken', u'attacked', u'surrounded', u'taken over', u'taken over', u'attacked', u'attacked', u'taken over', u'trapped', u'over taken', u'taken over', u'attacked', u'attacked', u'attacked', u'taken', u'attacked', u'taken', u'surrounded ', u'attacked', u'attacked', u'attacked', u'attacked', u'surrounded', u'attacked', u'overrun', u'took over', u'overwhelmed', u'trapped', u'surrounded', u'', u'']","[u'beleaguer', u'circumvent', u'hem_in', u'surround']","['N']","[u'knock at the door', u'beleaguer', u'rock beset', u'dance attendance on']","['N']"
"""It is also known as a clothes iron , flat iron , or smoothing iron .""","smooth","[u'press', u'leveling', u'pressing', u'flattening', u'unroughing', u'flattening', u'flattening', u'flattening', u'flattening', u'flattening', u'an', u'rubbing', u'flattening', u'leveling ', u'press', u'levelling', u'flattening', u'even', u'flattening', u'flatting', u'evening', u'even', u'evening', u'surface', u'flatning', u'pressing', u'flattening', u'make flat', u'unwrinkling', u'flattening', u'flattening', u'straightening ', u'leveling', u'flattening', u'clear', u'nonwrinkling', u'straightening', u'flattening', u'sleek', u'flattening', u'anti-wrinkle', u'press', u'leveling', u'flattening', u'regular', u'press', u'making things smooth', u'pressing', u'evening', u'unwrkinkling', u'', u'']","[u'shine', u'legato', u'liquid', u'suave', u'smooth_out', u'fluid', u'fluent', u'politic', u'quiet', u'unruffled', u'placid', u'smoothen', u'bland', u'polish', u'tranquil', u'still']","['N']","[u'appease', u'smooth as glass', u'soothe', u'lull', u'sober', u'allay', u'still', u'dress', u'rock to sleep', u'turn off', u'swag', u'compose', u'ease', u'tame', u'calm', u'smoothen', u'untroubled', u'smooth-tongued', u'quell', u'slow', u'damp', u'throw cold water on', u'pacify', u'deaden', u'calm down', u'tranquilize', u'cool', u'hush', u'slacken', u'level', u'assimilate', u'quiet', u'throw a wet blanket over', u'alleviate', u'rebate', u'facilitate', u'assuage', u'lay']","['N']"
"""An England batting collapse resulted in an innings defeat , denying Bradman the opportunity to bat again and so his career average finished at 99.94 ; if he had scored just four runs in his last innings , it would have been 100 . A story developed over the years that claimed Bradman missed the ball because of tears in his eyes , a claim Bradman denied for the rest of his life .""","result","[u'happened', u'appeared', u'caused', u'ended', u'ended', u'ended', u'ended', u'followed', u'created', u'led to', u'ended', u'caused', u'came out', u'ended', u'ended', u'ended', u'ended', u'occured', u'ended', u'ended', u'ended', u'ended', u'concluded', u'ended', u'was the cause', u'ended', u'caused', u'ended', u'happened', u'ended', u'led to', u'wound up', u'ended', u'ended', u'ended', u'ended', u'ended', u'caused', u'appeared', u'ended', u'ended up', u'ended', u'led to', u'was', u'ended', u'ended', u'ended', u'ended', u'ended', u'ended', u'', u'']","[u'final_result', u'solvent', u'lead', u'resultant', u'resolution', u'effect', u'ensue', u'solution', u'leave', u'answer', u'termination', u'consequence', u'upshot', u'outcome', u'issue', u'event', u'resultant_role']","['N']","[u'stubble', u'catastrophe', u'judgment', u'finale', u'educt', u'denouement', u'upshot', u'issue', u'conclusion']","['N']"
"""First mentioned by the Ancient Greek geographer Ptolemy , the pre-Christian settlement of the Saxon people originally covered an area a little more to the northwest , with parts of the southern Jutland Peninsula , Old Saxony and small sections of the eastern Low Countries .""","section","[u'parts', u'portions', u'parts', u'areas ', u'parts', u'parts', u'parts', u'areas', u'portion', u'parts', u'parts', u'parts', u'parts', u'areas', u'parts', u'parts', u'areas', u'parts', u'areas', u'parts', u'places', u'areas', u'parts', u'parts', u'parts', u'areas', u'parts', u'areas', u'parts', u'parts', u'areas', u'parts', u'parts', u'pieces', u'parts', u'parts', u'areas', u'parts', u'parts', u'areas', u'areas', u'areas', u'areas', u'parts', u'parts', u'areas', u'portions', u'areas', u'parts', u'parts', u'', u'']","[u'division', u'surgical_incision', u'subdivision', u'incision', u'plane_section', u'part', u'department', u'segment', u'discussion_section']","['N']","[u'corps', u'battery', u'clause', u'regiment', u'battalion', u'category', u'sotnia', u'platoon', u'army', u'passage', u'squad', u'brigade', u'division', u'head', u'company', u'cleavage', u'battalia', u'detachment', u'article', u'class', u'chapter', u'resection', u'squadron', u'subdivision', u'column', u'host', u'order', u'flying column', u'paragraph', u""corps d'armee"", u'categorema', u'garrison', u'wing']","['N']"
"""The first amniotes , such as Casineria , resembled small lizards and evolved from amphibian reptiliomorphs about 340 million years ago .""","resemble","[u'match', u'seemed like', u'match', u'looked like', u'duplicate', u'looked like', u'looked like', u'looked like', u'looked like', u'looked like', u'mimicked', u'mirrored', u'looked like', u'looked like', u'mirror', u'looked like', u'were like', u'matched', u'looked like', u'looked like', u'matched', u'looked like', u'looked like', u'looked like', u'looked like', u'were', u'appear like', u'looked like', u'emulated', u'looked like', u'looked like', u'match', u'looked like', u'looked like', u'echoed', u'looked like', u'mirrored', u'matched', u'mirrored', u'appeared', u'mirrored', u'matching', u'looked like', u'looked like', u'mirrored', u'matched', u'doubled', u'features', u'looked like', u'looked like', u'looked like', u'']","[]","['N']","[u'bear resemblance', u'look like']","['N']"
"In 1873 mine employers attempted to introduce Saturday afternoon and Sunday shifts .","attempt","[u'tried', u'tried', u'tried', u'tried', u'tried', u'tryed', u'tried', u'tried', u'tried', u'tried', u'tried', u'tried', u'tried', u'tried', u'tried', u'tried', u'tried', u'tried', u'tried', u'tried', u'tried', u'tried', u'tried', u'tried', u'tried', u'tried', u'tried', u'tried', u'tried', u'tried', u'tried', u'tried', u'tried', u'tried', u'tried', u'tried', u'tried', u'tried', u'tried', u'tried', u'tried', u'tried', u'tried', u'tried', u'tried', u'tried', u'sought', u'tried', u'tried', u'tried', u'', u'']","[u'essay', u'seek', u'set_about', u'try', u'attack', u'undertake', u'assay', u'endeavour', u'endeavor', u'effort']","['N']","[u'essay', u'essay ', u'tempt', u'trial', u'make an attempt', u'endeavor']","['N']"
